t,mode,x,y,z,force_n,target_n,v_norm_cmd_mps,v_lat_mps,obstacle_active
0.0,approach,-0.24,0.44,0.0798,0.0,10.0,0.02,0.0,0
0.01,approach,-0.24,0.44,0.0796,0.0,10.0,0.02,0.0,0
0.02,approach,-0.24,0.44,0.0794,0.0,10.0,0.02,0.0,0
0.03,approach,-0.24,0.44,0.0792,0.0,10.0,0.02,0.0,0
0.04,approach,-0.24,0.44,0.079,0.0,10.0,0.02,0.0,0
0.05,approach,-0.24,0.44,0.0788,0.0,10.0,0.02,0.0,0
0.06,approach,-0.24,0.44,0.0786,0.0,10.0,0.02,0.0,0
0.07,approach,-0.24,0.44,0.0784,0.0,10.0,0.02,0.0,0
0.08,approach,-0.24,0.44,0.0782,0.0,10.0,0.02,0.0,0
0.09,approach,-0.24,0.44,0.078,0.0,10.0,0.02,0.0,0
0.1,approach,-0.24,0.44,0.0778,0.0,10.0,0.02,0.0,0
0.11,approach,-0.24,0.44,0.0776,0.0,10.0,0.02,0.0,0
0.12,approach,-0.24,0.44,0.0774,0.0,10.0,0.02,0.0,0
0.13,approach,-0.24,0.44,0.0772,0.0,10.0,0.02,0.0,0
0.14,approach,-0.24,0.44,0.077,0.0,10.0,0.02,0.0,0
0.15,approach,-0.24,0.44,0.0768,0.0,10.0,0.02,0.0,0
0.16,approach,-0.24,0.44,0.0766,0.0,10.0,0.02,0.0,0
0.17,approach,-0.24,0.44,0.0764,0.0,10.0,0.02,0.0,0
0.18,approach,-0.24,0.44,0.0762,0.0,10.0,0.02,0.0,0
0.19,approach,-0.24,0.44,0.076,0.0,10.0,0.02,0.0,0
0.2,approach,-0.24,0.44,0.0758,0.0,10.0,0.02,0.0,0
0.21,approach,-0.24,0.44,0.0756,0.0,10.0,0.02,0.0,0
0.22,approach,-0.24,0.44,0.0754,0.0,10.0,0.02,0.0,0
0.23,approach,-0.24,0.44,0.0752,0.0,10.0,0.02,0.0,0
0.24,approach,-0.24,0.44,0.075,0.0,10.0,0.02,0.0,0
0.25,approach,-0.24,0.44,0.0748,0.0,10.0,0.02,0.0,0
0.26,approach,-0.24,0.44,0.0746,0.0,10.0,0.02,0.0,0
0.27,approach,-0.24,0.44,0.0744,0.0,10.0,0.02,0.0,0
0.28,approach,-0.24,0.44,0.0742,0.0,10.0,0.02,0.0,0
0.29,approach,-0.24,0.44,0.074,0.0,10.0,0.02,0.0,0
0.3,approach,-0.24,0.44,0.0738,0.0,10.0,0.02,0.0,0
0.31,approach,-0.24,0.44,0.0736,0.0,10.0,0.02,0.0,0
0.32,approach,-0.24,0.44,0.0734,0.0,10.0,0.02,0.0,0
0.33,approach,-0.24,0.44,0.0732,0.0,10.0,0.02,0.0,0
0.34,approach,-0.24,0.44,0.073,0.0,10.0,0.02,0.0,0
0.35,approach,-0.24,0.44,0.0728,0.0,10.0,0.02,0.0,0
0.36,approach,-0.24,0.44,0.0726,0.0,10.0,0.02,0.0,0
0.37,approach,-0.24,0.44,0.0724,0.0,10.0,0.02,0.0,0
0.38,approach,-0.24,0.44,0.0722,0.0,10.0,0.02,0.0,0
0.39,approach,-0.24,0.44,0.072,0.0,10.0,0.02,0.0,0
0.4,approach,-0.24,0.44,0.0718,0.0,10.0,0.02,0.0,0
0.41,approach,-0.24,0.44,0.0716,0.0,10.0,0.02,0.0,0
0.42,approach,-0.24,0.44,0.0714,0.0,10.0,0.02,0.0,0
0.43,approach,-0.24,0.44,0.0712,0.0,10.0,0.02,0.0,0
0.44,approach,-0.24,0.44,0.071,0.0,10.0,0.02,0.0,0
0.45,approach,-0.24,0.44,0.0708,0.0,10.0,0.02,0.0,0
0.46,approach,-0.24,0.44,0.0706,0.0,10.0,0.02,0.0,0
0.47,approach,-0.24,0.44,0.0704,0.0,10.0,0.02,0.0,0
0.48,approach,-0.24,0.44,0.0702,0.0,10.0,0.02,0.0,0
0.49,approach,-0.24,0.44,0.07,0.0,10.0,0.02,0.0,0
0.5,approach,-0.24,0.44,0.0698,0.0,10.0,0.02,0.0,0
0.51,approach,-0.24,0.44,0.0696,0.0,10.0,0.02,0.0,0
0.52,approach,-0.24,0.44,0.0694,0.0,10.0,0.02,0.0,0
0.53,approach,-0.24,0.44,0.0692,0.0,10.0,0.02,0.0,0
